dr_name,dataset_name,n_components,n_neighbors,accuracy,precision,recall,f1_score
ISOMAP,AcademicSuccess,2,8,0.6531073446327683,0.5829551980219251,0.6531073446327683,0.5771330830689698
ISOMAP,AcademicSuccess,2,15,0.6519774011299435,0.7416680593059086,0.6519774011299435,0.5784310278541221
ISOMAP,AcademicSuccess,2,59,0.6666666666666666,0.756958180110684,0.6666666666666666,0.5934538805161764
ISOMAP,AcademicSuccess,4,8,0.656497175141243,0.5752296979022744,0.656497175141243,0.5813537738378367
ISOMAP,AcademicSuccess,4,15,0.672316384180791,0.6897561269915146,0.672316384180791,0.6039395795792443
ISOMAP,AcademicSuccess,4,59,0.6802259887005649,0.7038831324736761,0.6802259887005649,0.614407827349972
ISOMAP,AcademicSuccess,6,8,0.6677966101694915,0.5757999261121474,0.6677966101694915,0.5962755410573775
ISOMAP,AcademicSuccess,6,15,0.6779661016949152,0.6715836416301012,0.6779661016949152,0.6106944873614923
ISOMAP,AcademicSuccess,6,59,0.6836158192090396,0.6889840757659765,0.6836158192090396,0.6240697870052689
ISOMAP,AcademicSuccess,8,8,0.6700564971751413,0.6491045930737396,0.6700564971751413,0.61485964931758
ISOMAP,AcademicSuccess,8,15,0.6790960451977401,0.659323237139856,0.6790960451977401,0.6258763180040005
ISOMAP,AcademicSuccess,8,59,0.6994350282485876,0.700272017537379,0.6994350282485876,0.64622643763429
ISOMAP,AcademicSuccess,10,8,0.6802259887005649,0.6634983392966601,0.6802259887005649,0.6287799626295222
ISOMAP,AcademicSuccess,10,15,0.688135593220339,0.6830000260355648,0.688135593220339,0.6410869023671871
ISOMAP,AcademicSuccess,10,59,0.7016949152542373,0.6971611909625937,0.7016949152542373,0.6541705872597039
ISOMAP,AcademicSuccess,12,8,0.6847457627118644,0.6761849789588857,0.6847457627118644,0.6380119159681776
ISOMAP,AcademicSuccess,12,15,0.6949152542372882,0.6940025835084096,0.6949152542372882,0.6517913928574519
ISOMAP,AcademicSuccess,12,59,0.7016949152542373,0.6956137857740576,0.7016949152542373,0.6564884103526057
ISOMAP,AcademicSuccess,14,8,0.6903954802259887,0.6838160202547274,0.6903954802259887,0.6493363675758277
ISOMAP,AcademicSuccess,14,15,0.6915254237288135,0.6717138983506467,0.6915254237288135,0.6504497340757606
ISOMAP,AcademicSuccess,14,59,0.7016949152542373,0.6711291593374796,0.7016949152542373,0.6588771355310762
ISOMAP,AcademicSuccess,16,8,0.6892655367231638,0.6784998240423677,0.6892655367231638,0.6502740938011624
ISOMAP,AcademicSuccess,16,15,0.6903954802259887,0.673724337240301,0.6903954802259887,0.6538597435944954
ISOMAP,AcademicSuccess,16,59,0.7197740112994351,0.6877864765065632,0.7197740112994351,0.6818797765552622
ISOMAP,DryBean,2,9,0.9026808666911494,0.9046636420936404,0.9026808666911494,0.9027445878739706
