dr_name,dataset_name,n_components,n_neighbors,accuracy,precision,recall,f1_score
LPP,AcademicSuccess,2,8,0.6519774011299435,0.7506112547479971,0.6519774011299435,0.5786687511422788
LPP,AcademicSuccess,2,15,0.6474576271186441,0.7455743879472693,0.6474576271186441,0.5741471697329026
LPP,AcademicSuccess,2,59,0.656497175141243,0.7615206631820735,0.656497175141243,0.5826294175231647
LPP,AcademicSuccess,4,8,0.6587570621468927,0.7654114555460159,0.6587570621468927,0.5846297445812776
LPP,AcademicSuccess,4,15,0.6576271186440678,0.7673599950461528,0.6576271186440678,0.5836295253779259
LPP,AcademicSuccess,4,59,0.6542372881355932,0.764108824424052,0.6542372881355932,0.5796075067010135
LPP,AcademicSuccess,6,8,0.6711864406779661,0.6405752439650746,0.6711864406779661,0.6041062363460139
LPP,AcademicSuccess,6,15,0.6768361581920904,0.6773629179719384,0.6768361581920904,0.6114342097820272
LPP,AcademicSuccess,6,59,0.6813559322033899,0.6338123358885165,0.6813559322033899,0.6131615404010166
LPP,AcademicSuccess,8,8,0.6689265536723163,0.624430882114431,0.6689265536723163,0.6005400838569093
LPP,AcademicSuccess,8,15,0.6937853107344633,0.6758695046885345,0.6937853107344633,0.6324589970624243
LPP,AcademicSuccess,8,59,0.7050847457627119,0.6955786887263806,0.7050847457627119,0.6443614211096318
LPP,AcademicSuccess,10,8,0.6836158192090396,0.6716970583924439,0.6836158192090396,0.6190222796719513
LPP,AcademicSuccess,10,15,0.6949152542372882,0.7038020449521002,0.6949152542372882,0.6384065879019787
LPP,AcademicSuccess,10,59,0.711864406779661,0.6892935823551346,0.711864406779661,0.6608232602646311
LPP,AcademicSuccess,12,8,0.6847457627118644,0.6806243076550491,0.6847457627118644,0.6265675446435515
LPP,AcademicSuccess,12,15,0.688135593220339,0.673845739856692,0.688135593220339,0.6362036531641543
LPP,AcademicSuccess,12,59,0.7310734463276836,0.7150042229383451,0.7310734463276836,0.6971070686209789
LPP,AcademicSuccess,14,8,0.6983050847457627,0.6832071020682998,0.6983050847457627,0.6541757267234339
LPP,AcademicSuccess,14,15,0.7028248587570621,0.6905395485570321,0.7028248587570621,0.6594507237128885
LPP,AcademicSuccess,14,59,0.7265536723163842,0.7073392099177425,0.7265536723163842,0.6915299362832711
LPP,AcademicSuccess,16,8,0.7050847457627119,0.6806964495129463,0.7050847457627119,0.6685201822247271
LPP,AcademicSuccess,16,15,0.7084745762711865,0.686544645778427,0.7084745762711865,0.6739697514349096
LPP,AcademicSuccess,16,59,0.7163841807909604,0.6950968813700453,0.7163841807909604,0.6868165078192313
LPP,BuyCoupon,2,9,0.5675995270003942,0.5680473372781065,0.9986130374479888,0.7241639426703546
LPP,BuyCoupon,2,21,0.5683878596767836,0.5683878596767836,1.0,0.7248052274440815
LPP,BuyCoupon,2,100,0.5719353567205361,0.5716009654062751,0.9854368932038836,0.7235234215885947
LPP,BuyCoupon,5,9,0.5648403626330312,0.5672235481304694,0.9889042995839112,0.7209302325581396
LPP,BuyCoupon,5,21,0.5687820260149783,0.5686661404893449,0.9993065187239945,0.7248490945674044
LPP,BuyCoupon,5,100,0.5683878596767836,0.5683878596767836,1.0,0.7248052274440815
LPP,BuyCoupon,8,9,0.5648403626330312,0.5672235481304694,0.9889042995839112,0.7209302325581396
LPP,BuyCoupon,8,21,0.5683878596767836,0.5683878596767836,1.0,0.7248052274440815
LPP,BuyCoupon,8,100,0.5683878596767836,0.5683878596767836,1.0,0.7248052274440815
LPP,BuyCoupon,11,9,0.5648403626330312,0.5672235481304694,0.9889042995839112,0.7209302325581396
LPP,BuyCoupon,11,21,0.5683878596767836,0.5683878596767836,1.0,0.7248052274440815
LPP,BuyCoupon,11,100,0.5683878596767836,0.5683878596767836,1.0,0.7248052274440815
LPP,BuyCoupon,14,9,0.5648403626330312,0.5672235481304694,0.9889042995839112,0.7209302325581396
LPP,BuyCoupon,14,21,0.5648403626330312,0.5672235481304694,0.9889042995839112,0.7209302325581396
LPP,BuyCoupon,14,100,0.5683878596767836,0.5683878596767836,1.0,0.7248052274440815
LPP,BuyCoupon,17,9,0.5648403626330312,0.5672235481304694,0.9889042995839112,0.7209302325581396
LPP,BuyCoupon,17,21,0.5648403626330312,0.5672235481304694,0.9889042995839112,0.7209302325581396
LPP,BuyCoupon,17,100,0.5648403626330312,0.5672235481304694,0.9889042995839112,0.7209302325581396
LPP,BuyCoupon,20,9,0.5695703586913677,0.5787578757875788,0.8918169209431346,0.7019650655021834
LPP,BuyCoupon,20,21,0.5668111943240047,0.574468085106383,0.9174757281553398,0.7065420560747665
LPP,BuyCoupon,20,100,0.607016160819866,0.6090151886330231,0.8619972260748959,0.7137525122021244
LPP,BuyCoupon,23,9,0.584548679542767,0.5866071428571429,0.91123439667129,0.7137425312330257
LPP,BuyCoupon,23,21,0.6066219944816713,0.6128048780487805,0.8363384188626907,0.7073313782991202
LPP,BuyCoupon,23,100,0.62238864800946,0.6283138918345705,0.8217753120665742,0.7121394230769231
LPP,BuyCoupon,26,9,0.5932203389830508,0.5961538461538461,0.8814147018030514,0.7112479015109122
LPP,BuyCoupon,26,21,0.612534489554592,0.6178736517719569,0.834257975034674,0.7099439362643847
