dataset_name,accuracy,precision,recall,f1_score
Grade,0.93,0.9341921094369549,0.93,0.9293055565192224
Glass,0.6511627906976745,0.6961444308445532,0.6511627906976745,0.6285370807942626
BuyCoupon,0.5683878596767836,0.5683878596767836,1.0,0.7248052274440815
StayHospital,0.2955,0.79182025,0.2955,0.1348054805094558
Parkinsons,0.8461538461538461,0.8285714285714286,1.0,0.90625
DryBean,0.9316929856775616,0.9322590869976812,0.9316929856775616,0.9318509955325104
AcademicSuccess,0.7672316384180791,0.7562729977186139,0.7672316384180791,0.7506898727299057
FakeWebsite,0.943012211668928,0.9353821907013397,0.9642567018683996,0.9496
Heart,0.7065217391304348,0.7142857142857143,0.7843137254901961,0.7476635514018691
Zoo,0.9523809523809524,0.9642857142857144,0.9523809523809524,0.9319727891156462
