dr_name,dataset_name,n_components,n_neighbors,RMSE,MAE,MAE_percentage,R2,residuals_mean,residuals_var
LPP,Admission,2,5,0.0749065402298516,0.0594572839993225,0.09072337699012,0.7544691563012442,0.0149362762694861,0.0054560986535776
LPP,Admission,2,6,0.07588535032559,0.0598060364987247,0.091394259840748,0.7480104876327027,0.0138159094653882,0.0056381843439814
LPP,Admission,2,17,0.0755984086975257,0.0600829370005923,0.0923237991998297,0.7499125563848841,0.0136201439098459,0.0055996061544032
LPP,BankHappiness,2,8,0.3101890952999176,0.1740123941698925,411077176934750.8,-0.0007587222466651,-0.0085425445224552,0.0961838653315266
LPP,BankHappiness,2,19,0.3101838697238834,0.1738198450580976,410118487681320.9,-0.0007250041255273,-0.0083093500812027,0.0961845535766864
LPP,BankHappiness,2,87,0.3101846330846624,0.1738576802330656,410307334722149.75,-0.0007299296889315,-0.008355379839379,0.0961842599473963
LPP,BankHappiness,4,8,0.3064828894602,0.1731059594015649,411371463386485.0,0.0230129693194802,-0.009579668728603,0.0938786087593674
LPP,BankHappiness,4,19,0.3065193186847551,0.1731158624815362,411361267469184.5,0.0227807018986427,-0.0095652377517741,0.09390122553765
LPP,BankHappiness,4,87,0.3065492188157237,0.1730690182300938,411117671437736.3,0.0225900423980267,-0.0095039036340881,0.0939207339810395
LPP,BankHappiness,6,8,0.3064661546459565,0.1730369845948647,410819444317189.6,0.0231196587998367,-0.0094034978229977,0.093871692607634
LPP,BankHappiness,6,19,0.3064806454114687,0.1730016527256064,410753020553894.4,0.0230272761441397,-0.009409331615699,0.0938804685358455
LPP,BankHappiness,6,87,0.3063090447846647,0.1729253369380968,410882352056132.06,0.0241209973976082,-0.009543082127846,0.0937727342289959
LPP,BankHappiness,8,8,0.3045662442682144,0.1722956552031182,409883797037105.4,0.0351942847289332,-0.0096842348652157,0.0927049472335615
LPP,BankHappiness,8,19,0.3048848016751998,0.1723139299918211,409506536788962.1,0.0331749753332153,-0.0095094025402188,0.0929025293227494
LPP,BankHappiness,8,87,0.3051536106260494,0.1722622799089388,408807122826464.8,0.031469375127819,-0.0092532046694212,0.0930713895095597
LPP,Credit,2,3,9104.937734879084,6111.495015801163,1.205564808969519,7.448632330375737e-05,-305.0056189342784,92007625.2538262
LPP,Credit,2,3,9104.937734879084,6111.495015801163,1.205564808969519,7.448632330375737e-05,-305.0056189342784,92007625.2538262
LPP,Credit,2,6,9110.402820347736,6116.17,1.2065679717468742,-0.0011262508138998,-305.57000000000005,92117851.69344445
LPP,Credit,4,3,9108.441505582485,6114.569771875699,1.2061176168278975,-0.0006952463062632,-306.2037584106649,92077717.68772542
LPP,Credit,4,3,9108.441505582485,6114.569771875699,1.2061176168278975,-0.0006952463062632,-306.2037584106649,92077717.68772542
LPP,Credit,4,6,9106.279716598809,6112.13207205212,1.2054467326173293,-0.0002202945285501,-304.5799378449863,92035068.15377912
LPP,Credit,6,3,9108.868998299598,6115.480893135567,1.206421696172136,-0.000789181139893,-306.6565833369674,92086062.40897734
LPP,Credit,6,3,9108.868998299598,6115.480893135567,1.206421696172136,-0.000789181139893,-306.6565833369674,92086062.40897734
LPP,Credit,6,6,9109.01133828263,6114.042347458725,1.2059381385226695,-0.0008204591016474,-304.52579254530303,92090390.6695957
LPP,Credit,8,3,9109.45982772457,6114.84963688277,1.2061466220450543,-0.0009190139156534,-304.98686910866144,92099157.06955452
LPP,Credit,8,3,9109.45982772457,6114.84963688277,1.2061466220450543,-0.0009190139156534,-304.98686910866144,92099157.06955452
LPP,Credit,8,6,9109.466331834166,6114.577226136111,1.2060103563611608,-0.0009204432186882,-304.66120912251824,92099509.33164024
LPP,Credit,10,3,9109.88354718563,6115.167464760785,1.2062012307947605,-0.0010121300249967,-304.91866417386734,92107780.94613542
LPP,Credit,10,3,9109.88354718563,6115.167464760785,1.2062012307947605,-0.0010121300249967,-304.91866417386734,92107780.94613542
LPP,Credit,10,6,9110.03710019098,6115.4950003428185,1.206307458934635,-0.0010458757288998,-305.25514448423894,92110661.40402448
LPP,Facebook,2,5,255.87984135466925,132.06674741753986,1.5869541456068337,-0.0562933895802779,68.93787974125438,61335.41610956673
LPP,Facebook,2,7,248.51472507061263,131.77907049280168,1.6692014779915914,0.0036391145447675,64.30236478143519,58206.84288933073
LPP,Facebook,2,20,248.56229135319813,130.32518991631517,1.5761773094222875,0.0032576665721963,66.4334875371768,57949.29739030296
