dr_name,dataset_name,n_components,n_neighbors,RMSE,MAE,MAE_percentage,R2,residuals_mean,residuals_var
KPCA,Admission,2,,0.0775274539806888,0.0590672429085427,0.0925889993607577,0.7369867528581202,0.0094537026801968,0.0059960846849238
KPCA,BankHappiness,2,,0.3101984799582005,0.1740702947016786,411354647207974.7,-0.000819278345165,-0.008607865545062,0.0961885691095145
KPCA,BankHappiness,4,,0.3101800320233756,0.1739962804021255,411009094542605.6,-0.0007002416573691,-0.0085284236344898,0.0961784815971792
KPCA,BankHappiness,6,,0.3100356706115476,0.1735655256110468,409053618479376.56,0.0002310167572515,-0.0080907726057684,0.0960961859384448
KPCA,BankHappiness,8,,0.309683525560795,0.1714503115371768,398985943587323.4,0.0025008443417028,-0.0057350408917992,0.0959104483942225
KPCA,Credit,2,,9110.396306798064,6116.053444235013,1.206529017014209,-0.0011248192892217,-305.37574039168555,92117851.69344448
KPCA,Credit,4,,9110.393553737224,6116.004157716073,1.206512544700124,-0.0011242142316529,-305.293596193453,92117851.69344448
KPCA,Credit,6,,9110.40337647644,6116.179948134801,1.2065712965668165,-0.0011263730379265,-305.58658022467387,92117851.69344433
KPCA,Credit,8,,9110.393764481018,6116.007931013357,1.2065138057942195,-0.0011242605481411,-305.2998850222628,92117851.69344445
KPCA,Credit,10,,9110.381732616048,6115.792380026123,1.2064417653328638,-0.0011216162312699,-304.9406333768802,92117851.6934443
KPCA,Facebook,2,,251.22514387071573,131.34540503093314,1.53772613223644,-0.0182129671748265,67.11896744007616,59201.12840670693
KPCA,Facebook,4,,251.0590104291841,129.37599917878833,1.4292901235857562,-0.0168667381315565,68.3462912032773,58948.90019842221
KPCA,Facebook,6,,249.66044698216243,128.34418552952528,1.428057816131197,-0.0055690636426852,67.40019846508784,58371.26468100999
KPCA,Facebook,8,,248.9252661305928,127.18685087536508,1.429441074513978,0.0003444613007461,67.00251203385767,58055.00151448405
KPCA,ForestFires,2,,11.33438820469518,4.798990231529061,2172805206986672.5,-0.1339664859584071,3.744096680734763,115.56126200082124
KPCA,ForestFires,4,,11.375173283104605,4.943103845649596,2856650584251667.5,-0.142141981813602,3.5064314710130016,118.23639396323904
KPCA,HousePrice,2,,92601.97598587006,59913.012313415325,0.3146039547234914,-0.0639187257184117,23201.348824054687,8064441318.95464
KPCA,HousePrice,11,,92639.87559389252,60003.247351548605,0.3153909547312585,-0.0647897730938715,23101.62331189489,8076119493.879386
KPCA,HousePrice,20,,92649.27049648036,60021.49021891844,0.3155460099622866,-0.0650057514375122,23083.02323559925,8078728239.366852
KPCA,HousePrice,29,,92652.61632545934,60028.5337433098,0.3156094488975641,-0.0650826736070615,23073.697160518608,8079782298.621496
KPCA,HousePrice,38,,92654.344667764,60032.91675125213,0.3156500535624144,-0.0651224100912573,23067.895320920023,8080372299.149684
KPCA,HousePrice,47,,92655.51222081762,60035.5598619853,0.3156732378758601,-0.0651492538353291,23064.755146287134,8080734764.13615
KPCA,HousePrice,56,,92656.269419855,60037.34761727104,0.3156888280766157,-0.0651666631241216,23062.662506404813,8080972424.016374
